District Name,Police Unit,Village Area Name,Beat Name,Total Crimes per beat,Sanctioned Strength of Assistant Sub-Inspectors per District,Sanctioned Strength of Head Constables per District,Sanctioned Strength of Police Constables per District,Normalised Crime Severity
"SP, BAGALKOTE",Amengad PS,SIDDANAKOLLA,GUDUR OP RURAL BEAT NO 26,4.0,111,331,660,0.00044072278536800354
"SP, BAGALKOTE",Amengad PS,KELUR,GUDUR OP RURAL BEAT NO 27,14.0,111,331,660,0.0016999307435622993
"SP, BAGALKOTE",Amengad PS,KALLIGUDDA,RURAL BEAT NO 9,2.0,111,331,660,0.00044072278536800354
"SP, BAGALKOTE",Amengad PS,AIHOLE,RURAL BEAT NO 8,20.0,111,331,660,0.0027702575080274508
"SP, BAGALKOTE",Amengad PS,RAKKASAGI,RURAL BEAT NO 7,20.0,111,331,660,0.0012592079581942959
"SP, BAGALKOTE",Amengad PS,SULEBHAVI TWO,RURAL BEAT NO 4,9.0,111,331,660,0.0013851287540137254
"SP, BAGALKOTE",Amengad PS,BENAL,RURAL BEAT NO 18,3.0,111,331,660,0.0006296039790971479
"SP, BAGALKOTE",Amengad PS,MADAPUR,RURAL BEAT NO 17,1.0,111,331,660,0.00031480198954857397
"SP, BAGALKOTE",Amengad PS,AMBLIKOPPA,RURAL BEAT NO 19,2.0,111,331,660,0.00044072278536800354
"SP, BAGALKOTE",Amengad PS,BENAKANAWARI,GUDUR OP RURAL BEAT NO 30,4.0,111,331,660,0.0008814455707360071
"SP, BAGALKOTE",Amengad PS,UPNAL,GUDUR OP RURAL BEAT 25,1.0,111,331,660,6.296039790971479e-05
"SP, BAGALKOTE",Badami PS,ADAGAL,RURAL BEAT NO 6,206.0,111,331,660,0.00591827740351319
"SP, BAGALKOTE",Badami PS,NAVILOHOLE,RURAL BEAT NO 5,147.0,111,331,660,0.006359000188881194
"SP, BAGALKOTE",Badami PS,HIRENASIBI,RURAL BEAT NO 4,157.0,111,331,660,0.0050368318327771834
"SP, BAGALKOTE",Badami PS,YARAGOPPA,RURAL BEAT NO 2,98.0,111,331,660,0.004973871434867469
"SP, BAGALKOTE",Badami PS,KULAGERI,OP BEAT NO 2,209.0,111,331,660,0.005981237801422905
"SP, BAGALKOTE",Badami PS,NEERALAGI,RURAL BEAT NO 3,162.0,111,331,660,0.006421960586790908
"SP, BAGALKOTE",Badami PS,LAKHAMAPUR,RURAL BEAT NO 1,143.0,111,331,660,0.004784990241138324
"SP, BAGALKOTE",Badami PS,KAKANUR,OP BEAT NO 1,112.0,111,331,660,0.004281307057860606
"SP, BAGALKOTE",Badami PS,CHALUKYANAGAR,TOWNBEAT NO 4,113.0,111,331,660,0.0057293962097840455
"SP, BAGALKOTE",Badami PS,TALAWAR GALLI,TOWN BEAT NO 1,123.0,111,331,660,0.005351633822325757
"SP, BAGALKOTE",Badami PS,ANAND NAGAR,TOWN BEAT NO 3,126.0,111,331,660,0.005666435811874331
"SP, BAGALKOTE",Badami PS,RANGANATH NAGAR,TOWN BEAT NO 2,78.0,111,331,660,0.005162752628596613
"SP, BAGALKOTE",Badami PS,OTHER,OTHER,10.0,111,331,660,0.0016369703456525844
"SP, BAGALKOTE",Bagalkot CEN Crime PS,Hunagund ps limits,Hunagund ps,8.0,111,331,660,0.0005036831832777183
"SP, BAGALKOTE",Bagalkot CEN Crime PS,Banahatti Twon,Banahatti PS LIMITS,11.0,111,331,660,0.0006925643770068627
"SP, BAGALKOTE",Bagalkot CEN Crime PS,Kulageri Village,Badami ps,3.0,111,331,660,0.00044072278536800354
"SP, BAGALKOTE",Bagalkot CEN Crime PS,Shikkeri Village,Bagalkot RL,31.0,111,331,660,0.0006296039790971479
"SP, BAGALKOTE",Bagalkot CEN Crime PS,Bagalkot Navanagar,Bagalkot Navanagar,16.0,111,331,660,0.0006925643770068627
"SP, BAGALKOTE",Bagalkot CEN Crime PS,Gaddanakeri LT,Gaddanakeri LT,1.0,111,331,660,0.00012592079581942958
"SP, BAGALKOTE",Bagalkot CEN Crime PS,Lokapur p.s Limits,Lokapur,5.0,111,331,660,0.0005666435811874331
"SP, BAGALKOTE",Bagalkot CEN Crime PS,Kerur P.S,KERUR PS,11.0,111,331,660,0.0006925643770068627
"SP, BAGALKOTE",Bagalkot CEN Crime PS,MAHALINGAPUR STATION LIMITS,MAHALINGAPUR PS LIMITS,7.0,111,331,660,0.00044072278536800354
"SP, BAGALKOTE",Bagalkot CEN Crime PS,Aminagad PS Limits,Aminagad PS Limits,12.0,111,331,660,0.0005666435811874331
"SP, BAGALKOTE",Bagalkot CEN Crime PS,BILAGI PS LIMITS,BILAGI PS LIMITS,20.0,111,331,660,0.0008184851728262922
"SP, BAGALKOTE",Bagalkot CEN Crime PS,BAGALKOT TOWN LIMITS,BAGALKOT TOWN PS LIMITS,27.0,111,331,660,0.0006925643770068627
"SP, BAGALKOTE",Bagalkot CEN Crime PS,NAVANAGAR PS LIMITS,NAVANAGAR PS LIMITS,30.0,111,331,660,0.0011332871623748661
"SP, BAGALKOTE",Bagalkot CEN Crime PS,JAMAKHANDI TOWN PS LIMITS,JAMAKHANDI TOWN PS LIMITS,9.0,111,331,660,0.0005666435811874331
"SP, BAGALKOTE",Bagalkot CEN Crime PS,GULEDAGUDDA PS LIMITS,GULEDAGUDDA PS LIMITS,5.0,111,331,660,0.0005036831832777183
"SP, BAGALKOTE",Bagalkot CEN Crime PS,MUDHOL PS LIMITS,MUDHOL PS LIMITS,18.0,111,331,660,0.0005666435811874331
"SP, BAGALKOTE",Bagalkot CEN Crime PS,KALADAGI PS LIMITS,KALADAGI PS LIMITS,3.0,111,331,660,0.0003777623874582887
"SP, BAGALKOTE",Bagalkot CEN Crime PS,BADAMI PS LIMITS,BADAMI PS LIMITS,6.0,111,331,660,0.0005036831832777183
"SP, BAGALKOTE",Bagalkot CEN Crime PS,JAMAKHANDI RURAL PS LIMITS,JAMAKHANDI RURAL PS LIMITS,2.0,111,331,660,0.00025184159163885915
"SP, BAGALKOTE",Bagalkot CEN Crime PS,Ilkal Town PS Limits,Ilkal TOWN PS Limits,4.0,111,331,660,0.0005666435811874331
"SP, BAGALKOTE",Bagalkot CEN Crime PS,Teradal PS Limits,Teradal PS Limits,1.0,111,331,660,0.00025184159163885915
"SP, BAGALKOTE",Bagalkot Rural PS,BILKERUR,RAMPUR OP BEAT NO 2,288.0,111,331,660,0.004910911036957753
"SP, BAGALKOTE",Bagalkot Rural PS,VEERAPUR,BEAT NO 4,259.0,111,331,660,0.006673802178429768
"SP, BAGALKOTE",Bagalkot Rural PS,BOMMANAGI,BEVOOR OP BEAT NO 2,170.0,111,331,660,0.005414594220235472
"SP, BAGALKOTE",Bagalkot Rural PS,SANGONDI,BEAT NO 3,54.0,111,331,660,0.0050368318327771834
"SP, BAGALKOTE",Bagalkot Rural PS,SHIGIKERI,BEAT NO 6,278.0,111,331,660,0.005792356607693761
"SP, BAGALKOTE",Bagalkot Rural PS,SHIRUR,BEAT NO 2,435.0,111,331,660,0.007807089340804634
"SP, BAGALKOTE",Bagalkot Rural PS,BHAGAVATI,BEAT NO 5,162.0,111,331,660,0.005855317005603476
"SP, BAGALKOTE",Bagalkot Rural PS,BODANAYAKANADINNI,BEVOOR OP BEAT NO 1,232.0,111,331,660,0.008310772524082351
"SP, BAGALKOTE",Bagalkot Rural PS,RAMPUR RC,RAMPUR OP BEAT NO 1,160.0,111,331,660,0.0055405150160549015
"SP, BAGALKOTE",Bagalkot Rural PS,ANDAMURANAL,BEAT NO 1,52.0,111,331,660,0.0043442674557703205
"SP, BAGALKOTE",Bagalkot Town PS,LAXMI NAGARA,TOWN BEAT NO 3,155.0,111,331,660,0.006988604167978342
"SP, BAGALKOTE",Bagalkot Town PS,ARAVIND LIMBAVALI HOUSE,TOWN BEAT NO 2,30.0,111,331,660,0.00302209909966631
"SP, BAGALKOTE",Bagalkot Town PS,HARANASHIKARI KALANI,TOWN BEAT NO 4,173.0,111,331,660,0.006547881382610338
"SP, BAGALKOTE",Bagalkot Town PS,BASAVESHWAR COLLEGE,TOWN BEAT NO 5,142.0,111,331,660,0.005855317005603476
"SP, BAGALKOTE",Bagalkot Town PS,VENKATAPET,TOWN BEAT NO 7,284.0,111,331,660,0.006107158597242334
"SP, BAGALKOTE",Bagalkot Town PS,KOULPET,TOWN BEAT NO 6,112.0,111,331,660,0.005414594220235472
"SP, BAGALKOTE",Bagalkot Town PS,JAYANAGARA,TOWN BEAT NO 1,49.0,111,331,660,0.00302209909966631
"SP, BAGALKOTE",Bagalkot Town PS,Maharashtra State Pune Dist Navasari Daba,Other,3.0,111,331,660,0.0008814455707360071
"SP, BAGALKOTE",Bagalkot Town PS,Aslambaba Adda,Town Beat 8,7.0,111,331,660,0.0016369703456525844
"SP, BAGALKOTE",Bagalkot Traffic PS,HUBBLI BY PASS ROAD,NAVANAGAR,257.0,111,331,660,0.0005666435811874331
"SP, BAGALKOTE",Bagalkot Traffic PS,BE COLLEGE CROSS TO VIDYAGIRI BY PASS ROAD,VIDYAGIRI,123.0,111,331,660,0.0003777623874582887
"SP, BAGALKOTE",Bagalkot Traffic PS,BAGALKOT KALADAGI RAOD,BAGALKOT OLD CITY,170.0,111,331,660,0.0006925643770068627
"SP, BAGALKOTE",Bagalkot Women PS,KARADIGUDD,BADAMI PS,6.0,111,331,660,0.0008814455707360071
"SP, BAGALKOTE",Bagalkot Women PS,NAVANAGAR,NAVANAGAR PS,131.0,111,331,660,0.0034628218850343132
"SP, BAGALKOTE",Bagalkot Women PS,SHIROL,MUDHOL PS,2.0,111,331,660,0.00031480198954857397
"SP, BAGALKOTE",Bagalkot Women PS,BUDIHAL,BILAGI PS,11.0,111,331,660,0.0012592079581942959
"SP, BAGALKOTE",Bagalkot Women PS,JADRAMAKUNTI,BAGALKOT RURAL PS,18.0,111,331,660,0.0016999307435622993
"SP, BAGALKOTE",Bagalkot Women PS,Tallikari,AMINAGAD PS,4.0,111,331,660,0.0009444059686457218
"SP, BAGALKOTE",Bagalkot Women PS,BIDARI RC,SAVALAGI PS,1.0,111,331,660,0.00031480198954857397
"SP, BAGALKOTE",Bagalkot Women PS,OLD BAGALKOT,BAGALKOT TOWN PS,16.0,111,331,660,0.0016999307435622993
"SP, BAGALKOTE",Bagalkot Women PS,GULEDAGUDDA,GULEDAGUDD PS,2.0,111,331,660,0.00031480198954857397
"SP, BAGALKOTE",Bagalkot Women PS,JAMAKANDI,JAMAKANDI TOWN PS,2.0,111,331,660,0.0006296039790971479
"SP, BAGALKOTE",Bagalkot Women PS,HUNUGUND,HUNAGUND PS,5.0,111,331,660,0.0005666435811874331
"SP, BAGALKOTE",Bagalkot Women PS,MURNAL R C,KALADAGI PS,5.0,111,331,660,0.0006925643770068627
"SP, BAGALKOTE",Bagalkot Women PS,KONNUR,JAMAKHANDI TOWN & RURAL PS,1.0,111,331,660,0.00031480198954857397
"SP, BAGALKOTE",Banahatti PS,Hosur Village,Rural Beat No 4,144.0,111,331,660,0.0057293962097840455
"SP, BAGALKOTE",Banahatti PS,K H D C COLONY,TOWN BEAT 3,149.0,111,331,660,0.005414594220235472
"SP, BAGALKOTE",Banahatti PS,Jagadal Village,Rural Beat No 2,200.0,111,331,660,0.00604419819933262
"SP, BAGALKOTE",Banahatti PS,Aski Asangi Village,Rural Beat NO 3,205.0,111,331,660,0.006673802178429768
"SP, BAGALKOTE",Banahatti PS,Chimmad Village,Rural Beat No 1,157.0,111,331,660,0.005225713026506327
"SP, BAGALKOTE",Banahatti PS,Laxmi Nagar Banahatti,TOWN BEAT 2,92.0,111,331,660,0.005666435811874331
"SP, BAGALKOTE",Banahatti PS,Rampur,TOWN BEAT 1,116.0,111,331,660,0.0062330793930617644
"SP, BAGALKOTE",Banahatti PS,PENDARI GALLI,TOWN BEAT 4,81.0,111,331,660,0.004659069445318895
"SP, BAGALKOTE",Banahatti PS,HIPPARAGI VILLAGE,RURAL BEAT 46,18.0,111,331,660,0.0019517723352011586
"SP, BAGALKOTE",Banahatti PS,HIPPARAGI VILLAGE,RURAL BEAT 45,2.0,111,331,660,0.0005036831832777183
"SP, BAGALKOTE",Bilagi PS,GANDI NAGAR,TOWN BEAT 2,207.0,111,331,660,0.006610841780520053
"SP, BAGALKOTE",Bilagi PS,GALAGALI,GALAGALI OP BEAT 1,236.0,111,331,660,0.005855317005603476
"SP, BAGALKOTE",Bilagi PS,TOLAMATTI,RURAL BEAT 3,168.0,111,331,660,0.005855317005603476
"SP, BAGALKOTE",Bilagi PS,BASAVESHWAR NAGAR,TOWN BEAT 1,202.0,111,331,660,0.0069256437700686265
"SP, BAGALKOTE",Bilagi PS,BALLUR,RURAL BEAT  1,219.0,111,331,660,0.006359000188881194
"SP, BAGALKOTE",Bilagi PS,JANAMATTI,RURAL BEAT 5,146.0,111,331,660,0.006107158597242334
"SP, BAGALKOTE",Bilagi PS,GULABAL,GALAGALI OP BEAT 2,123.0,111,331,660,0.004910911036957753
"SP, BAGALKOTE",Bilagi PS,ANAGAWADI,RURAL BEAT 4,264.0,111,331,660,0.00604419819933262
"SP, BAGALKOTE",Bilagi PS,BADAGANDI,RURAL BEAT 2,226.0,111,331,660,0.006107158597242334
"SP, BAGALKOTE",Bilagi PS,Other,Other,3.0,111,331,660,0.0008814455707360071
"SP, BAGALKOTE",Guledagudda PS,Lingapur,RURAL BEAT NO 04,224.0,111,331,660,0.00604419819933262
"SP, BAGALKOTE",Guledagudda PS,NEGLI PETE,TOWN BEAT NO 01,113.0,111,331,660,0.00617011899515205
"SP, BAGALKOTE",Guledagudda PS,KERE KHANAPUR,RURAL BEAT NO 03,180.0,111,331,660,0.005351633822325757
"SP, BAGALKOTE",Guledagudda PS,HOSA PETE,TOWN BEAT NO 02,186.0,111,331,660,0.00749228735125606
"SP, BAGALKOTE",Guledagudda PS,kotnalli,RURAL BEAT NO 02,93.0,111,331,660,0.004029465466221746
"SP, BAGALKOTE",Guledagudda PS,pavratI village,RURAL BEAT NO 01,116.0,111,331,660,0.005414594220235472
"SP, BAGALKOTE",Guledagudda PS,Shahapur,OUT OF PS,1.0,111,331,660,0.00031480198954857397
"SP, BAGALKOTE",Hungunda PS,BEVINAMATTI,BEAT 1 TOWN,282.0,111,331,660,0.006799722974249197
"SP, BAGALKOTE",Hungunda PS,AMARAVTI,BEAT NO 8 RURAL,116.0,111,331,660,0.0057293962097840455
"SP, BAGALKOTE",Hungunda PS,CHOUDAKAMALADINNI,BEAT NO 10 RURAL,156.0,111,331,660,0.006484920984700623
"SP, BAGALKOTE",Hungunda PS,TIMMAPUR,BEAT NO 5 RURAL,162.0,111,331,660,0.004910911036957753
"SP, BAGALKOTE",Hungunda PS,KOUJAGANUR,BEAT NO 7 RURAL,33.0,111,331,660,0.0028332179059371654
"SP, BAGALKOTE",Hungunda PS,HUVANUR,BEAT NO 11 RURAL,138.0,111,331,660,0.004784990241138324
"SP, BAGALKOTE",Hungunda PS,MAHANT NAGAR,BEAT 3  TOWN,255.0,111,331,660,0.005666435811874331
"SP, BAGALKOTE",Hungunda PS,BELGAL,BEAT NO 6 RURAL,174.0,111,331,660,0.005162752628596613
"SP, BAGALKOTE",Hungunda PS,NAGUR,BEAT NO 9 RURAL,135.0,111,331,660,0.004973871434867469
"SP, BAGALKOTE",Hungunda PS,KENGAL,BEAT NO 12 RURAL,75.0,111,331,660,0.003903544670402317
"SP, BAGALKOTE",Hungunda PS,MANNAPUR STREET,BEAT 2  TOWN,33.0,111,331,660,0.003966505068312032
"SP, BAGALKOTE",Hungunda PS,BEVINAMATTI,BEAT NO 4 RURAL,52.0,111,331,660,0.0036517030787634576
"SP, BAGALKOTE",Hungunda PS,GUMAGERA,OTHERSS,2.0,111,331,660,0.0003777623874582887
"SP, BAGALKOTE",Ilakal PS,KULAKARNIPETH HOSAPETH GALLI,TOWN BEAT 2,240.0,111,331,660,0.007240445759617201
"SP, BAGALKOTE",Ilakal PS,KANAKANAGAR ILKAL,TOWN BEAT 4,249.0,111,331,660,0.0069256437700686265
"SP, BAGALKOTE",Ilakal PS,BALAKUNDI,RURAL BEAT 1,41.0,111,331,660,0.0045331486494994645
"SP, BAGALKOTE",Ilakal PS,KUDALASANGAM COLONY,TOWN BEAT 1,326.0,111,331,660,0.007366366555436631
"SP, BAGALKOTE",Ilakal PS,CHIKKAADAPUR,NANDAWADAGI OP RL BEAT 2,12.0,111,331,660,0.002014732733110873
"SP, BAGALKOTE",Ilakal PS,BANNIKATTI ILKAL,TOWN BEAT 3,189.0,111,331,660,0.007051564565888057
"SP, BAGALKOTE",Ilakal PS,TUMB,RURAL BEAT 4,10.0,111,331,660,0.0007555247749165775
"SP, BAGALKOTE",Ilakal PS,INGALAGI,RURAL BEAT 3,38.0,111,331,660,0.003085059497576025
"SP, BAGALKOTE",Ilakal PS,GADISUNKAPUR,RURAL BEAT 5,9.0,111,331,660,0.0013221683561040105
"SP, BAGALKOTE",Ilakal PS,KARADI,RURAL BEAT 8,11.0,111,331,660,0.0010073663665554366
"SP, BAGALKOTE",Ilakal PS,HANAMANAL,RURAL BEAT 2,29.0,111,331,660,0.002014732733110873
"SP, BAGALKOTE",Ilakal PS,TARIWAL,RURAL BEAT 6,8.0,111,331,660,0.0018888119372914437
"SP, BAGALKOTE",Ilakal PS,NANDAWADAGI,NANDAWADAGI OP RL BEAT 1,13.0,111,331,660,0.0013221683561040105
"SP, BAGALKOTE",Ilakal PS,JALAKAMALADINNI,RURAL BEAT 7,4.0,111,331,660,0.0008184851728262922
"SP, BAGALKOTE",Ilakal Rural PS,TARIWAL,BEAT NO 6,59.0,111,331,660,0.0025184159163885917
"SP, BAGALKOTE",Ilakal Rural PS,NANDAWADAGI,NANDAVADAGI 0P BEAT NO 1,229.0,111,331,660,0.005855317005603476
"SP, BAGALKOTE",Ilakal Rural PS,BALAKUNDI,BEAT NO 1,136.0,111,331,660,0.006296039790971479
"SP, BAGALKOTE",Ilakal Rural PS,HERUR,BEAT NO 4,112.0,111,331,660,0.003966505068312032
"SP, BAGALKOTE",Ilakal Rural PS,KARADI,BEAT NO 8,71.0,111,331,660,0.0036517030787634576
"SP, BAGALKOTE",Ilakal Rural PS,HIREKODAGALI,BEAT NO 2,101.0,111,331,660,0.003210980293395454
"SP, BAGALKOTE",Ilakal Rural PS,HARINAPUR,NANDAVADAGI OP BEAT NO 2,89.0,111,331,660,0.004092425864131461
"SP, BAGALKOTE",Ilakal Rural PS,INGALAGI,BEAT NO 3,59.0,111,331,660,0.0045331486494994645
"SP, BAGALKOTE",Ilakal Rural PS,GADISUNKAPUR,BEAT NO 5,49.0,111,331,660,0.0043442674557703205
"SP, BAGALKOTE",Ilakal Rural PS,PALATI,BEAT NO 7,26.0,111,331,660,0.0033998614871245986
"SP, BAGALKOTE",Jamakhandi Rural PS,KUMBARHALL,BEAT 6,147.0,111,331,660,0.004281307057860606
"SP, BAGALKOTE",Jamakhandi Rural PS,KUNCHANUR,BEAT 4,99.0,111,331,660,0.005099792230686898
"SP, BAGALKOTE",Jamakhandi Rural PS,SIDDAPUR,BEAT 8,266.0,111,331,660,0.007114524963797771
"SP, BAGALKOTE",Jamakhandi Rural PS,KALLALLI,BEAT 1,329.0,111,331,660,0.007995970534533778
"SP, BAGALKOTE",Jamakhandi Rural PS,SANAL,BEAT 3,160.0,111,331,660,0.006359000188881194
"SP, BAGALKOTE",Jamakhandi Rural PS,SIDDAPUR,BEAT 5,214.0,111,331,660,0.005288673424416042
"SP, BAGALKOTE",Jamakhandi Rural PS,HUNASHIKATTI,BEAT 9,130.0,111,331,660,0.00459610904740918
"SP, BAGALKOTE",Jamakhandi Rural PS,CHINAGUNDI,BEAT 7,78.0,111,331,660,0.005288673424416042
"SP, BAGALKOTE",Jamakhandi Rural PS,MUTTUR,BEAT 2,47.0,111,331,660,0.003840584272492602
"SP, BAGALKOTE",Jamakhandi Town PS,BIJAPUR ROAD,BEAT 03,325.0,111,331,660,0.007681168544985204
"SP, BAGALKOTE",Jamakhandi Town PS,SADANANDA COLONY,BEAT 04,243.0,111,331,660,0.006484920984700623
"SP, BAGALKOTE",Jamakhandi Town PS,PRABATH NAGAR,BEAT 05,143.0,111,331,660,0.005666435811874331
"SP, BAGALKOTE",Jamakhandi Town PS,CHOUDAYA NAGAR,BEAT 01,233.0,111,331,660,0.007429326953346345
"SP, BAGALKOTE",Jamakhandi Town PS,P B SCHOOL GALLI,BEAT 02,278.0,111,331,660,0.008373732921992068
"SP, BAGALKOTE",Jamakhandi Town PS,RAMESHWAR COLONY,BEAT 06,62.0,111,331,660,0.004910911036957753
"SP, BAGALKOTE",Kaladagi PS,TULASIGERI,RURAL BEAT 3,210.0,111,331,660,0.006359000188881194
"SP, BAGALKOTE",Kaladagi PS,KALADAGI,TOWN BEAT,242.0,111,331,660,0.006673802178429768
"SP, BAGALKOTE",Kaladagi PS,ANKALAGI,RURAL BEAT 1,106.0,111,331,660,0.004281307057860606
"SP, BAGALKOTE",Kaladagi PS,SIMIKERI,RURAL BEAT 4,339.0,111,331,660,0.006988604167978342
"SP, BAGALKOTE",Kaladagi PS,GOVINDAKOPPA,RURAL BEAT 2,112.0,111,331,660,0.005351633822325757
"SP, BAGALKOTE",Kerur PS,SULIKERI,RURALBEAT3,220.0,111,331,660,0.0062330793930617644
"SP, BAGALKOTE",Kerur PS,NARENUR,RURALBEAT2,244.0,111,331,660,0.006862683372158912
"SP, BAGALKOTE",Kerur PS,MATTIKATTI,RURALBEAT4,194.0,111,331,660,0.0067367625763394825
"SP, BAGALKOTE",Kerur PS,SARKARI HANAMANERI,RURALBEAT5,233.0,111,331,660,0.005603475413964616
"SP, BAGALKOTE",Kerur PS,SAMAGAR GALLI,TOWN BEAT 1,274.0,111,331,660,0.007555247749165775
"SP, BAGALKOTE",Kerur PS,KADARAKOPPA,RURALBEAT1,288.0,111,331,660,0.005855317005603476
"SP, BAGALKOTE",Kerur PS,BAVIKATTI GALLI,TOWN BEAT 4,42.0,111,331,660,0.003588742680853743
"SP, BAGALKOTE",Kerur PS,ANAVAL,RURALBEAT6,138.0,111,331,660,0.005351633822325757
"SP, BAGALKOTE",Kerur PS,NEHARU NAGAR,TOWN BEAT 3,28.0,111,331,660,0.003085059497576025
"SP, BAGALKOTE",Kerur PS,KHAJI GALLI,TOWN BEAT 2,31.0,111,331,660,0.003336901089214884
"SP, BAGALKOTE",Lokapur PS,BOMMANABUDNI,LOKAPUR RURAL BEAT 2,233.0,111,331,660,0.0055405150160549015
"SP, BAGALKOTE",Lokapur PS,SUBHAS NAGAR LAKSHANATTI,LOKAPUR TOWN BEAT 1,70.0,111,331,660,0.003903544670402317
"SP, BAGALKOTE",Lokapur PS,LOKAPUR,LOKAPUR TOWN BEAT 2,332.0,111,331,660,0.0069256437700686265
"SP, BAGALKOTE",Lokapur PS,CHOUDAPUR,LOKAPUR RURAL BEAT 4,166.0,111,331,660,0.005162752628596613
"SP, BAGALKOTE",Lokapur PS,NAGANAPUR,LOKAPUR RURAL BEAT 1,327.0,111,331,660,0.006862683372158912
"SP, BAGALKOTE",Lokapur PS,ARALIKATTI,LOKAPUR RURAL BEAT 3,173.0,111,331,660,0.005414594220235472
"SP, BAGALKOTE",Lokapur PS,OTHER LIMITS,OTHER LIMITS,2.0,111,331,660,0.00018888119372914436
"SP, BAGALKOTE",Mahalingapur PS,BUDNI P.D,MAHALINGPUR TOWN BEAT 2,101.0,111,331,660,0.004847950639048039
"SP, BAGALKOTE",Mahalingapur PS,SAIDAPUR SAMIRAWADI,RURAL BEAT 4,196.0,111,331,660,0.005225713026506327
"SP, BAGALKOTE",Mahalingapur PS,DUTCH COLONY,MAHALINGPUR TOWN BEAT 3,73.0,111,331,660,0.0037146634766731727
"SP, BAGALKOTE",Mahalingapur PS,BUDNI P.D,MHALINGPUR TOWN BEAT 1,160.0,111,331,660,0.005162752628596613
"SP, BAGALKOTE",Mahalingapur PS,NANDAGAV,RURAL BEAT 1,255.0,111,331,660,0.006610841780520053
"SP, BAGALKOTE",Mahalingapur PS,SANGANATTI,RURAL BEAT 2,76.0,111,331,660,0.0034628218850343132
"SP, BAGALKOTE",Mahalingapur PS,KESARAKOPPA,RURAL BEAT 3,74.0,111,331,660,0.005414594220235472
"SP, BAGALKOTE",Mahalingapur PS,TOWN BEAT,MAHALINGAPUR TOWN BEAT 4,208.0,111,331,660,0.005603475413964616
"SP, BAGALKOTE",Mahalingapur PS,OTHER PS LIMITS,OTHER PS LIMITS,2.0,111,331,660,0.00031480198954857397
"SP, BAGALKOTE",Mudhol PS,JANATHA PLOT,Mudhol Town Beat 7,466.0,111,331,660,0.008751495309450356
"SP, BAGALKOTE",Mudhol PS,Shirol,Rural Beat No 1,435.0,111,331,660,0.008184851728262922
"SP, BAGALKOTE",Mudhol PS,Ingalagi,Rural Beat No 3,161.0,111,331,660,0.006988604167978342
"SP, BAGALKOTE",Mudhol PS,Uttur,Rural Beat No 5,144.0,111,331,660,0.0057293962097840455
"SP, BAGALKOTE",Mudhol PS,Baragi,Rural Beat No 4,141.0,111,331,660,0.006107158597242334
"SP, BAGALKOTE",Mudhol PS,PADMAVATI COLONY,Mudhol Town Beat 1,177.0,111,331,660,0.006359000188881194
"SP, BAGALKOTE",Mudhol PS,MALLAMA NAGAR,Mudhol Town Beat 3,135.0,111,331,660,0.007051564565888057
"SP, BAGALKOTE",Mudhol PS,WADDAR GALLI,Mudhol Town Beat 4,51.0,111,331,660,0.003336901089214884
"SP, BAGALKOTE",Mudhol PS,WADDAR GALLI,Mudhol Town Beat 5,62.0,111,331,660,0.003966505068312032
